url,name,description,source,location,domain
https://foundersfund.com/company/abcellera/,,,https://foundersfund.com/portfolio/,,
https://www.affirm.com/,Affirm,"Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest.",https://foundersfund.com/portfolio/,,Finance
https://www.airbnb.com/,Airbnb,"Airbnb is a community marketplace of individuals listing, exploring, and booking property around the world.",https://foundersfund.com/portfolio/,Consumer Internet & Media,"San Francisco, California"
https://anduril.com/,Anduril,Anduril brings together top technical talent to solve the most complex national security challenges.,https://foundersfund.com/portfolio/,,National Security
https://www.appliedmt.com/,Applied Molecular Transport,"Applied Molecular Transport (AMT) is a clinical-stage biopharmaceutical company leveraging its proprietary technology platform to design and develop a pipeline of novel oral biologic product candidates to treat autoimmune, inflammatory, metabolic, and other diseases.",https://foundersfund.com/portfolio/,,Biotechnology & Health
https://asana.com/,Asana,Asana is a web and mobile application designed to enable teamwork without email.,https://foundersfund.com/portfolio/,,Analytics & Software
https://avalanche.energy/,Avalanche Energy,"Avalanche Energy is developing the world’s first compact fusion microreactor for space power, defense, carbon-free distributed energy and mobility.",https://foundersfund.com/portfolio/,,Energy
https://foundersfund.com/company/aven/,Aven Close Analytics & Software,"Our mission is to provide the lowest cost, most convenient, and most transparent access to capital.",https://foundersfund.com/portfolio/,,Analytics & Software
https://biofire.com/,Biofire,"Biofire is building the future of firearms, starting with a Smart Gun that seamlessly unlocks for the owner and remains secure from unauthorized use, especially from children and teens.",https://foundersfund.com/portfolio/,,Firearms
https://blend.com/,Blend,Blend is reimagining an archaic industry by aligning borrowers and lenders on a single platform.,https://foundersfund.com/portfolio/,,Finance
https://boltthreads.com/,Bolt Threads,Bolt Threads harnesses proteins found in nature to create materials with practical and revolutionary uses.,https://foundersfund.com/portfolio/,,Biotechnology & Health
https://www.boringcompany.com/,The Boring Company,"The Boring Company creates safe, fast-to-dig, and low-cost transportation, utility, and freight tunnels. The mission: solve traffic, enable rapid point-to-point transportation, and transform cities.",https://foundersfund.com/portfolio/,,Transportation
https://branch.io/,Branch,Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today’s top brands.,https://foundersfund.com/portfolio/,,Analytics & Software
https://foundersfund.com/company/buildops/,BuildOps,BuildOps serves the unsung heroes of the trades by delivering an end-to-end scalable platform for commercial contractors that empowers owners to build enduring businesses.,https://foundersfund.com/portfolio/,,Analytics & Software
https://builtrobotics.com/,Built Robotics,We build the robots that build the world.,https://foundersfund.com/portfolio/,,Robotics
https://www.joincalibrate.com/,Calibrate,"Calibrate is a modern, medical metabolic health business changing the way the world treats weight.",https://foundersfund.com/portfolio/,,Biotechnology & Health
https://www.cedar.com/,Cedar,Cedar is a smarter payment platform for providers and patients.,https://foundersfund.com/portfolio/,,Finance
https://chronosphere.io/,Chronosphere,"Chronosphere is a leading observability company, empowering customers to reduce data complexity and volume, optimize costs, and remediate issues faster.",https://foundersfund.com/portfolio/,,Analytics & Software
https://cloud9.gg/,Cloud9,Cloud9 is a professional multi-game eSports organization that fields teams in various popular games.,https://foundersfund.com/portfolio/,United States,Consumer Internet & Media
https://cognition.ai/,Cognition,"Cognition is an applied AI lab focused on reasoning, and code is just the beginning.",https://foundersfund.com/portfolio/,,AI
https://collectivehealth.com/,Collective Health,"Collective Health gives companies a smarter way to provide healthcare coverage through technology. Powered by a platform that connects and administers the entire benefits ecosystem — health plan, benefits programs, spending accounts, employee support — their solution delivers an effortless experience for everyone.",https://foundersfund.com/portfolio/,,Biotechnology & Health
https://compasspathways.com/,Compass Pathways,COMPASS is a mental health care company dedicated to accelerating patient access to evidence-based innovation in mental health. Our first programme is researching how psilocybin therapy could help people with treatment-resistant depression.,https://foundersfund.com/portfolio/,,Biotechnology & Health
https://foundersfund.com/company/compass/,COMPASS,"COMPASS is building the first modern real estate platform, pairing the industry’s top talent with technology to make the search and sell experience intelligent and seamless.",https://foundersfund.com/portfolio/,,Analytics & Software
https://cover.build/,Cover,"Cover is developing the first custom home building process that can scale to solve the housing crisis, while raising the quality of homes.",https://foundersfund.com/portfolio/,,Real Estate & Technology
https://www.creditkarma.com/,Credit Karma,Credit Karma is a personal finance company focused on helping everyone make financial progress.,https://foundersfund.com/portfolio/,,Consumer Internet & Media
https://www.deepmind.com/,DeepMind,DeepMind is the world leader in artificial intelligence research and its application for positive impact.,https://foundersfund.com/portfolio/,,Artificial Intelligence
https://dynamic.so/,Dynamic,"Dynamic builds login and onboarding flows for the crypto world. We are on a mission to bring Web3 login for everyone, with simple onboarding flows for all your users and powerful developer tools to match.",https://foundersfund.com/portfolio/,,Analytics & Software
https://eightsleep.com/,Eight Sleep,Eight Sleep is the world’s first sleep fitness company developing technology to fuel human potential through optimal sleep.,https://foundersfund.com/portfolio/,,Biotechnology & Health
https://www.emeraldcloudlab.com/,Emerald Cloud Lab,"Emerald Cloud Lab builds and operates remote-control life sciences laboratories, allowing scientists anywhere in the world to design and run experiments as if they’re standing in front of the instruments themselves.",https://foundersfund.com/portfolio/,,Life Sciences
https://www.emulatebio.com/,Emulate,"Emulate’s Human Emulation System is a lab-ready platform that uses Organs-on-Chips technology to provide researchers in pharmaceutical and other industries with a new standard for predicting how humans respond to diseases, medicines, chemicals and foods.",https://foundersfund.com/portfolio/,,Biotechnology & Health
https://www.facebook.com/,Facebook,Facebook is the largest social network in the world.,https://foundersfund.com/portfolio/,,Consumer Internet & Media
https://www.faire.com/,Faire,"Curated wholesale marketplace that connects more than 100,000 independent retailers with thousands of the world’s best emerging and established brands.",https://foundersfund.com/portfolio/,,Consumer Internet & Media
https://www.figma.com/,Figma,"Figma is changing traditional design operations by simplifying the designer workflow, bringing key contributors into the process, and enabling companies to design products more efficiently.",https://foundersfund.com/portfolio/,,Software
