url,name,description,source,location,domain
https://www.notion.vc/portfolio/acin,Acin,"Acin, established in 2017, is an enterprise SaaS product. it enables companies to manage their risk and control data standards, it delivers benchmarking and controls data analysis' that is pioneering an Operational Risk revolution in finance, through its unique Networked, Defence Model. Individual banks are spending $10s of millions every year managing Operational Risk and controls. Over $410 billion of Operational Risk capital is held by the world'",https://www.notion.vc/portfolio/,UK,Fintech
https://www.adbrain.com/,Adbrain,"Adbrain is the world's leading provider of customer ID mapping solutions used by digital marketers to target and measure consumers across devices, channels and platforms. The Adbrain Identity Platform is integrated with more than 100 marketing automation and analytics solutions, as well as leading digital advertising sales and buying platforms, enabling access to billions of digital consumer IDs. With Adbrain's innovative, patent pending customer ID mapping technology, marketers and technologists can deliver a consistent, personalized customer journey across devices.",https://www.notion.vc/portfolio/,UK,AdTech
https://www.adfenix.com/,Adfenix,"Adfenix services hundreds of global real estate agencies across Europe, North America and Australia / New Zealand. Their cloud-based, marketing automation platform designed exclusively for real estate identifies, qualifies and nurtures leads, implements automated digital campaigns across social media on top of existing systems infrastructure, and puts real estate agencies back at the centre of the increasingly digitised world of real estate. Benefits for real estate agents include reaching the right target group outside of the traditional property portals, sustained lead generation, and shortening the sales cycle while increasing the end price.",https://www.notion.vc/portfolio/,"Gothenburg, Sweden",Real Estate
https://www.notion.vc/portfolio/aikido-security,Aikido Security,Aikido Security is a cybersecurity platform for software companies. The platform scans your software and offers an overview of where you are most vulnerable for being hacked. This allows development teams to solve the security risks that matter and efficiently keep their software secure.,https://www.notion.vc/portfolio/,Belgium,Cybersecurity
https://www.apperio.com/,Apperio,"Apperio is a legal spend analytics and matter tracking platform that encourages greater collaboration between corporate teams and their law firm advisors. The service allows in-house legal and finance stakeholders to analyse their legal spend in detail, manage large projects and budgets, and improve the long-term efficiency of their organisation. In doing so, Apperio also helps law firms to win more business and strengthen their relationships with clients. This is possible by removing the friction from billing and reducing invoice write-downs: ultimately increasing profitability and cash flow predictability.",https://www.notion.vc/portfolio/,UK,Legal Tech
https://www.arqit.com/,Arqit,"Arqit uses transformational quantum encryption technology to keep safe the data of governments, enterprises and citizens.",https://www.notion.vc/portfolio/,United Kingdom,Cybersecurity
https://www.notion.vc/portfolio/aslan,Aslan,"Aslan is a next-generation financial wellbeing solution that supercharges employees’ pay. With the Aslan mobile app and reward card, employees enjoy instant cashback rewards on every purchase. As well as the choice of when and how to get paid, financial education and budgeting tools at employees’ fingertips. Aslan exists to make employees’ pay go further, with a highly engaging benefit that they use every single day.",https://www.notion.vc/portfolio/,UK,Finance
https://www.notion.vc/portfolio/atmio,Atmio,"Hamburg-based atmio is building the operating system for the oil and gas sector to effortlessly find, fix, and report methane emissions. With its unique combination of hardware and software, atmio is on a mission to tackle climate change and become the world's leading provider to measure and manage greenhouse gas emissions.",https://www.notion.vc/portfolio/,Germany,Logistics and Mobility
https://www.avrios.com/,Avrios,"Avrios provides a SaaS platform that brings the future of transportation to 80.000 European businesses. We help our customers to manage their fleet digitally and to transition from a 1 person - 1 company car model towards tailored transportation, such as flexible leasing and rental options, shared mobility, and electric scooters. Managing their company car fleet with Avrios, companies reduce their fleet management overhead by 30%, their fleet costs by 10% and become 100% compliant with data privacy and owner's liability laws. With 600 customers at only 3 years of age, Avrios has quickly become a leading European fleet management provider.",https://www.notion.vc/portfolio/,Switzerland,Transportation
https://www.notion.vc/portfolio/bound,Bound,"Bound is working to make FX risk management easy for every business. Instead of worrying solely about where rates are right now, businesses begin to worry about where exchange rates will be in the future. Bound is building software and automated strategies to make it easier for CFOs to protect their businesses’ bottom line.",https://www.notion.vc/portfolio/,UK,Fintech
