url,name,description,source,location,domain
https://www.amphista.com/,Amphista Therapeutics,Amphista Therapeutics is developing medicines for hard-to-treat diseases using next-generation targeted protein degradation approaches.,https://www.nvfund.com/portfolio/,"Cambridge, UK",Biotech
https://www.nvfund.com/portfolio/,Anaveon,Anaveon is developing no-alpha IL-2 receptor agonists for the treatment of cancer.,https://www.nvfund.com/portfolio/,"Basel, Switzerland",Oncology
https://www.anokion.com/,Anokion,Anokion is developing targeted therapeutics to treat autoimmune diseases.,https://www.nvfund.com/portfolio/,"Ecublens, Switzerland and Cambridge, USA",Biotech
https://www.aravax.com/,Aravax,Aravax is a company focusing on peanut allergy intending to create immune tolerance.,https://www.nvfund.com/portfolio/,,Immunology
https://www.artiospharma.com/,Artios Pharma Limited,Artios Pharma is a clinical DNA damage response (DDR) company focused on developing first-in-class treatments for cancer.,https://www.nvfund.com/portfolio/,"Cambridge, UK",Oncology
https://www.nvfund.com/portfolio/arvada,Arvada Therapeutics,Arvada Therapeutics is developing large-molecule therapeutics to treat arrhythmogenic right ventricular cardiomyopathy/dysplasia (ARVC/D).,https://www.nvfund.com/portfolio/,"Boston, USA",Cardiovascular
https://www.astronautx.com/,AstronauTx,A biotechnology company focused on correcting disrupted brain physiology to treat neurodegenerative disease.,https://www.nvfund.com/portfolio/,"London, UK",Biotechnology
https://www.capstantherapeutics.com/,Capstan Therapeutics,Capstan Therapeutics is a biotechnology company dedicated to advancing in vivo cell reprogramming.,https://www.nvfund.com/portfolio/,"San Diego, USA",Biotechnology
https://www.nvfund.com/portfolio/,CatalYm,CatalYm is developing innovative immunotherapies to transform the tumor microenvironment and substantially improve treatment options for cancer patients.,https://www.nvfund.com/portfolio/,"Munich, Germany",Oncology
https://www.nvfund.com/portfolio/,Enterprise Therapeutics,Enterprise Therapeutics is a drug discovery company dedicated to the research and development of novel therapies for the treatment of respiratory diseases.,https://www.nvfund.com/portfolio/,"Brighton, UK",Biotech
https://www.epsilogen.com/,Epsilogen,Epsilogen is a biotechnology company developing immunoglobulin E (IgE) antibodies to treat cancer.,https://www.nvfund.com/portfolio/,"London, UK",Biotechnology
https://www.nvfund.com/portfolio/,Exo Therapeutics,Exo Therapeutics is developing small-molecule enzyme inhibitors that target distal binding pockets to reprogram enzyme activity with a focus on high-value oncology indications.,https://www.nvfund.com/portfolio/,"Boston, USA",Oncology
https://www.expansionrx.com/,Expansion Therapeutics,Expansion Therapeutics is a drug discovery and development company pursuing the vast potential of small molecule medicines for RNA-mediated diseases.,https://www.nvfund.com/portfolio/,"Boston, USA",Biotech
https://www.exsiliodx.com/,Exsilio Therapeutics Inc,Inserting therapeutic genes precisely and durably into safe harbor sites in the human genome,https://www.nvfund.com/portfolio/,,Biotech
https://www.forebiotherapeutics.com/,Fore Biotherapeutics,Fore Biotherapeutics is developing breakthrough targeted medicines for precision oncology.,https://www.nvfund.com/portfolio/,"Philadelphia, USA",Biotech
https://www.fo-rx.com/,FoRx Therapeutics,FoRx Therapeutics focuses on the development of novel anti-cancer therapies by drugging molecular targets essential for cancer cells undergoing DNA replication stress.,https://www.nvfund.com/portfolio/,"Basel, Switzerland",Biotech
https://www.nvfund.com/portfolio/,FundaMental Pharma,"FundaMental Pharma is a neuroscience company developing NMDA/TRPM4 interface inhibitors to stop neurodegeneration, restore function, and maintain brain health.",https://www.nvfund.com/portfolio/,"Heidelberg, Germany",Neuroscience
https://www.gentibio.com/,GentiBio,"GentiBio engineers T cells to generate stable, scalable, IL2 and tissue targeted regulatory T cells better suited to address serious unmet medical needs for autoimmunity, alloimmunity, and autoinflammation.",https://www.nvfund.com/portfolio/,"Boston, USA",Immunology
https://www.nvfund.com/portfolio/,Granite Bio,Granite Bio is a biotechnology company in the autoimmune/fibrosis therapeutics space developing novel treatments for inflammation and autoimmunity.,https://www.nvfund.com/portfolio/,"Basel, Switzerland",Biotechnology
https://www.nvfund.com/portfolio/hyku-biosciences,HYKU Biosciences,"HYKU Biosciences is developing small-molecule covalent inhibitors targeting non-cysteine amino acids to address current challenges associated with many disease targets, including selectivity, druggability, and resistance.",https://www.nvfund.com/portfolio/,"Boston, USA",Biotech
https://www.immunitastx.com/,Immunitas Therapeutics,Immunitas Therapeutics employs a single-cell genomics platform to dissect the biology of immune cells in human tumors and deliver meaningful clinical improvements.,https://www.nvfund.com/portfolio/,"Boston, USA","Immunology, Oncology"
https://www.nvfund.com/portfolio/,LoQus23 Therapeutics,LoQus23 Therapeutics is focusing on targeting DNA damage repair pathways to effectively treat Huntington’s and other triplet repeat diseases.,https://www.nvfund.com/portfolio/,"London, UK",Neuroscience
https://www.mediartherapeutics.com/,Mediar Therapeutics,Mediar Therapeutics is a biotechnology company pioneering a new approach to fibrosis treatment.,https://www.nvfund.com/portfolio/,"Boston, USA",Biotechnology
https://www.onltherapeutics.com/,ONL Therapeutics,ONL Therapeutics is a clinical-stage biopharmaceutical company developing first-in-class therapeutics to protect and improve the vision of patients with retinal disease.,https://www.nvfund.com/portfolio/,"Ann Arbor, MI USA",Biopharmaceutical
https://www.rappta.com/,Rappta Therapeutics,Rappta Therapeutics is a biopharmaceutical company developing a first-in-class series of anti-cancer molecular glues that reactivate protein phosphatase 2A (PP2A).,https://www.nvfund.com/portfolio/,"Helsinki, Finland",Biopharmaceutical
https://www.redonatherapeutics.com/,Redona Therapeutics,Redona Therapeutics is developing breakthrough medicines to exploit cancer’s vulnerabilities in gene expression.,https://www.nvfund.com/portfolio/,"Boston, USA",Oncology
https://www.nvfund.com/portfolio/,RhyGaze,Gene therapy targeting cone cells,https://www.nvfund.com/portfolio/,,Biotech
https://www.splicebio.com/,SpliceBio,SpliceBio is a biotechnology company exploiting protein splicing to develop the next generation of gene therapies for the treatment of inherited eye diseases.,https://www.nvfund.com/portfolio/,"Barcelona, Spain",Biotechnology
https://www.tagworkspharma.com/,Tagworks Pharmaceuticals,Tagworks Pharmaceuticals is a precision therapy company developing a new standard of care for patients suffering from severe diseases including cancer.,https://www.nvfund.com/portfolio/,"Nijmegen, Netherlands",Biotech
https://www.nvfund.com/portfolio/tigatx,TigaTX,TigaTX is developing an IgA therapeutic monoclonal antibody platform to activate neutrophils for the treatment of solid tumors.,https://www.nvfund.com/portfolio/,"Boston, USA","Oncology, Immunology"
https://www.vivet-therapeutics.com/,Vivet Therapeutics SAS,Vivet Therapeutics SAS focuses on the discovery and clinical development of gene therapy and protein replacement therapy for inherited metabolic liver diseases.,https://www.nvfund.com/portfolio/,"Paris, France",Biotech
